Country Name,Legislation and sources,度量名称,度量值,纬度(生成),经度(生成)
Ukraine,"Generally, any person who commits a criminal offence from the age of 16, can be held criminally liable. Persons who have committed a number of specifically listed offences can be held criminally liable from the age of 14. These offences are largely violent in nature, but also include certain property offences. [Criminal Code, Article 22(1) and (2)]",记录数,1,49.364,32.132
Ukraine,"Generally, any person who commits a criminal offence from the age of 16, can be held criminally liable. Persons who have committed a number of specifically listed offences can be held criminally liable from the age of 14. These offences are largely violent in nature, but also include certain property offences. [Criminal Code, Article 22(1) and (2)]",Minimum age of criminal responsibility,14,49.364,32.132
Uganda,"The minimum age of criminal responsibility is 12 years. [Children's Act, Section 88.]",记录数,1,1.9392,32.7415
Uganda,"The minimum age of criminal responsibility is 12 years. [Children's Act, Section 88.]",Minimum age of criminal responsibility,12,1.9392,32.7415
Tuvalu,"A child under the age of 10 cannot be criminally responsible for any act or omission and a child under 14 cannot be held criminally responsible unless it is proved that he or she knew that at the time “[he or she] ought not to do the act or make the omission”. [Penal Code, Sections 14(1) and (2)]",记录数,1,-7.4786,178.6758
Tuvalu,"A child under the age of 10 cannot be criminally responsible for any act or omission and a child under 14 cannot be held criminally responsible unless it is proved that he or she knew that at the time “[he or she] ought not to do the act or make the omission”. [Penal Code, Sections 14(1) and (2)]",Minimum age of criminal responsibility,10,-7.4786,178.6758
Turkmenistan,"Children are criminally liable for all offences from the age of 16 and for certain named offences from the age of 14. [Penal Code, Articles 21]",记录数,1,39.584,59.597
Turkmenistan,"Children are criminally liable for all offences from the age of 16 and for certain named offences from the age of 14. [Penal Code, Articles 21]",Minimum age of criminal responsibility,14,39.584,59.597
Turkey,"No child under the age of 12 on the day that an alleged offence was committed can be held criminally liable. No child between the ages of 12 and 14 (inclusive) when an offence is alleged to have been committed who did not “have the ability to perceive the legal meaning and consequences of the offence, or to control [his or her] actions” may be held criminally responsible. [Criminal Code, Article 31(1) and (2)]",记录数,1,39.144,34.188
Turkey,"No child under the age of 12 on the day that an alleged offence was committed can be held criminally liable. No child between the ages of 12 and 14 (inclusive) when an offence is alleged to have been committed who did not “have the ability to perceive the legal meaning and consequences of the offence, or to control [his or her] actions” may be held criminally responsible. [Criminal Code, Article 31(1) and (2)]",Minimum age of criminal responsibility,12,39.144,34.188
Tunisia,"Persons under the age of 13 cannot be held criminally responsible.[Child Protection Code, Article 68.]",记录数,1,35.594,9.421
Tunisia,"Persons under the age of 13 cannot be held criminally responsible.[Child Protection Code, Article 68.]",Minimum age of criminal responsibility,13,35.594,9.421
Trinidad and Tobago,"The minimum age of criminal responsibility is not defined by legislation and so is governed by the common law. Children under the age of seven cannot be held criminally responsible for any offence [Second periodic report of Trinidad and Tobago to the UN Committee on the Rights of the Child, CRC/C/83/Add.12, 15 November 2004, para 248], and there is a presumption that children aged 10 to 14 cannot be held criminally responsible, though this presumption can be rebutted where it can be demonstrated “that the child knew that his act was seriously wrong … at the time when he did it”. [See C. (A Minor) v. DPP [1996] 1 AC 1, H.L.]",记录数,1,10.4435,-61.2604
Trinidad and Tobago,"The minimum age of criminal responsibility is not defined by legislation and so is governed by the common law. Children under the age of seven cannot be held criminally responsible for any offence [Second periodic report of Trinidad and Tobago to the UN Committee on the Rights of the Child, CRC/C/83/Add.12, 15 November 2004, para 248], and there is a presumption that children aged 10 to 14 cannot be held criminally responsible, though this presumption can be rebutted where it can be demonstrated “that the child knew that his act was seriously wrong … at the time when he did it”. [See C. (A Minor) v. DPP [1996] 1 AC 1, H.L.]",Minimum age of criminal responsibility,7,10.4435,-61.2604
Tonga,"No person can be held criminally responsible for an act carried out while under the age of seven. A child aged seven to 12 can only be held criminally responsible where the Court or jury is of the opinion that he or she has attained “sufficient maturity of understanding to be aware of the nature and consequences of his conduct in regard to the act of which he is accused.” [Criminal Offences Act (as amended), Section 16(1) and (2)]",记录数,1,-21.167,-175.19
Tonga,"No person can be held criminally responsible for an act carried out while under the age of seven. A child aged seven to 12 can only be held criminally responsible where the Court or jury is of the opinion that he or she has attained “sufficient maturity of understanding to be aware of the nature and consequences of his conduct in regard to the act of which he is accused.” [Criminal Offences Act (as amended), Section 16(1) and (2)]",Minimum age of criminal responsibility,7,-21.167,-175.19
Togo,"Under the Penal Code, children under the age of 13 could be held criminally responsible before the Juvenile Court [Code de Procedure Penale, Article 455.]. The introduction of the Children's Code 2007, however, has effectively increased the minimum age of criminal responsibility to 14 by providing that children under this age are “criminally irresponsible” [Children's Code 2007, Article 302.]",记录数,1,7.7,1.106
Togo,"Under the Penal Code, children under the age of 13 could be held criminally responsible before the Juvenile Court [Code de Procedure Penale, Article 455.]. The introduction of the Children's Code 2007, however, has effectively increased the minimum age of criminal responsibility to 14 by providing that children under this age are “criminally irresponsible” [Children's Code 2007, Article 302.]",Minimum age of criminal responsibility,14,7.7,1.106
Timor-Leste,"Children under 16 are exempt from criminal liability. For persons aged over 16 but younger than 21 criminal penalties are provided for in specific legislation. [Penal Code, Article 20]",记录数,1,-8.856,125.556
Timor-Leste,"Children under 16 are exempt from criminal liability. For persons aged over 16 but younger than 21 criminal penalties are provided for in specific legislation. [Penal Code, Article 20]",Minimum age of criminal responsibility,16,-8.856,125.556
Thailand,"No person can be held criminally responsible for an offence committed while under the age of seven. A child older than seven but younger than 14 cannot be “punished”, but can be subjected a number of sentences including detention in a school or place of training and instruction. [Penal Code, Sections 73 and 74(1)-(5)]",记录数,1,15.688,100.845
Thailand,"No person can be held criminally responsible for an offence committed while under the age of seven. A child older than seven but younger than 14 cannot be “punished”, but can be subjected a number of sentences including detention in a school or place of training and instruction. [Penal Code, Sections 73 and 74(1)-(5)]",Minimum age of criminal responsibility,7,15.688,100.845
Tanzania,"No person under the age of seven can be held criminally responsible for any act or omission. A child aged seven to 12 can be held criminally responsible where at the time of alleged offence he or she had the capacity to know that he ought not do the act or make the omission [Criminal Code, Section 15].",记录数,1,-5.651,34.146
Tanzania,"No person under the age of seven can be held criminally responsible for any act or omission. A child aged seven to 12 can be held criminally responsible where at the time of alleged offence he or she had the capacity to know that he ought not do the act or make the omission [Criminal Code, Section 15].",Minimum age of criminal responsibility,7,-5.651,34.146
Tajikistan,"Children can be held criminally responsible for any offence from the age of 16, but from the age of 14 for certain named offences, usually involving violence. However, the UN Committee on the Rights of the Child has expressed concern that children under the age of 14 “are frequently subjected to arrest, pretrial detention and deprivation of liberty in closed institutions.” [Criminal Code, Article 23(1) and (2); CRC/C/TJK/CO/2, 5 February 2010, para. 72]]",记录数,1,38.367,72.597
Tajikistan,"Children can be held criminally responsible for any offence from the age of 16, but from the age of 14 for certain named offences, usually involving violence. However, the UN Committee on the Rights of the Child has expressed concern that children under the age of 14 “are frequently subjected to arrest, pretrial detention and deprivation of liberty in closed institutions.” [Criminal Code, Article 23(1) and (2); CRC/C/TJK/CO/2, 5 February 2010, para. 72]]",Minimum age of criminal responsibility,14,38.367,72.597
Syria,"A child under the age of 10 at the time of an alleged criminal offence cannot be held criminally responsible. [Juvenile Act 1974, Article 10 (as amended by Legislative Decree No. 52 of 2003]",记录数,1,35.303,38.322
Syria,"A child under the age of 10 at the time of an alleged criminal offence cannot be held criminally responsible. [Juvenile Act 1974, Article 10 (as amended by Legislative Decree No. 52 of 2003]",Minimum age of criminal responsibility,10,35.303,38.322
Switzerland,"No person can be subject to criminal penalties for acts committed while under the age of 10. [Loi fédérale régissant la condition pénaledes mineurs, 2003, Article 3(1)]",记录数,1,46.7794,8.0329
Switzerland,"No person can be subject to criminal penalties for acts committed while under the age of 10. [Loi fédérale régissant la condition pénaledes mineurs, 2003, Article 3(1)]",Minimum age of criminal responsibility,10,46.7794,8.0329
Sweden,"No person can be subjected to a criminal sanction for an offence committed while under the age of 15. [Criminal Code, Ch. 1, Section 6. Note, this legislation has been amended since this translation was produced.]",记录数,1,66.2188,19
Sweden,"No person can be subjected to a criminal sanction for an offence committed while under the age of 15. [Criminal Code, Ch. 1, Section 6. Note, this legislation has been amended since this translation was produced.]",Minimum age of criminal responsibility,15,66.2188,19
Swaziland,,记录数,1,-26.5203,31.4607
Swaziland,,Minimum age of criminal responsibility,7,-26.5203,31.4607
Suriname,"No one can be prosecuted for an offence committed while under the age of 10. [Penal Code, Article 56]",记录数,1,4.248,-55.848
Suriname,"No one can be prosecuted for an offence committed while under the age of 10. [Penal Code, Article 56]",Minimum age of criminal responsibility,10,4.248,-55.848
Sudan,"Generally, not child under the age of seven can be held criminally responsible. Children aged seven to 15 can be held criminally responsible if they have reached puberty [Criminal Act 1991, Sections 3 and 9]. However, the Narcotic Drugs and Psychotropic Substances Act 1994 can be applied without a lower age limit [Narcotic Drugs and Psychotropic Substances Act 1994, Articles 15 and 20].",记录数,1,15.739,29.533
Sudan,"Generally, not child under the age of seven can be held criminally responsible. Children aged seven to 15 can be held criminally responsible if they have reached puberty [Criminal Act 1991, Sections 3 and 9]. However, the Narcotic Drugs and Psychotropic Substances Act 1994 can be applied without a lower age limit [Narcotic Drugs and Psychotropic Substances Act 1994, Articles 15 and 20].",Minimum age of criminal responsibility,7,15.739,29.533
Sri Lanka,"No person can be held criminally responsible for an offence committed while under the age of eight. A child older than eight but younger than 12 can only be held criminally responsible if he or she has “attained sufficient maturity of understanding to judge of the nature and consequence of his [or her] conduct on that occasion.” [Penal Code, Sections 75 and 76]",记录数,1,7.3,80.727
Sri Lanka,"No person can be held criminally responsible for an offence committed while under the age of eight. A child older than eight but younger than 12 can only be held criminally responsible if he or she has “attained sufficient maturity of understanding to judge of the nature and consequence of his [or her] conduct on that occasion.” [Penal Code, Sections 75 and 76]",Minimum age of criminal responsibility,8,7.3,80.727
Spain,"No child can be held criminally responsible for an act committed while under the age of 14, but younger children who carry out what would otherwise be a criminal act can be subject to protection measures. [Organic Law 5/2000 of 12 January, on the criminal responsibility of minors, Articles1(1) and 3]",记录数,1,40.617,-3.388
Spain,"No child can be held criminally responsible for an act committed while under the age of 14, but younger children who carry out what would otherwise be a criminal act can be subject to protection measures. [Organic Law 5/2000 of 12 January, on the criminal responsibility of minors, Articles1(1) and 3]",Minimum age of criminal responsibility,14,40.617,-3.388
South Sudan,"A child under the age of 12 cannot be held criminally responsible [Penal Code, Section 30]. A child aged 12 to 14 is presumed to be able to be held criminally liable unless it can be proved beyond reasonable doubt that he or she lacked the capacity to form the intention necessary to commit the offence or, where negligence is an element of the offence, he or she lacked the capacity to behave in the way that a reasonable adult would have behaved in the circumstances [Penal Code, section 31].",记录数,1,7.1,30.48
South Sudan,"A child under the age of 12 cannot be held criminally responsible [Penal Code, Section 30]. A child aged 12 to 14 is presumed to be able to be held criminally liable unless it can be proved beyond reasonable doubt that he or she lacked the capacity to form the intention necessary to commit the offence or, where negligence is an element of the offence, he or she lacked the capacity to behave in the way that a reasonable adult would have behaved in the circumstances [Penal Code, section 31].",Minimum age of criminal responsibility,14,7.1,30.48
South Africa,"A child who commits an offence while under the age of 10 is not considered to have criminal capacity and so cannot be prosecuted. A child who is older than 10 but younger than 14 is presumed to lack criminal capacity unless the State proves otherwise. In order to prove that a child has criminal capacity, the State must demonstrate beyond reasonable doubt that the child was able to appreciate the difference between right and wrong at the time of the commission of the alleged offence and to act in accordance with that appreciation. [Child Justice Act 2008, Section 7 and 11.]",记录数,1,-31.7,23.441
South Africa,"A child who commits an offence while under the age of 10 is not considered to have criminal capacity and so cannot be prosecuted. A child who is older than 10 but younger than 14 is presumed to lack criminal capacity unless the State proves otherwise. In order to prove that a child has criminal capacity, the State must demonstrate beyond reasonable doubt that the child was able to appreciate the difference between right and wrong at the time of the commission of the alleged offence and to act in accordance with that appreciation. [Child Justice Act 2008, Section 7 and 11.]",Minimum age of criminal responsibility,10,-31.7,23.441
Somalia,"Somalia's legal system is divided between that of Somaliland, which unilaterally declared its independence in 1991, and the rest of the country. This legal divide has a marked effect on sentencing provisions for child offenders, so the two regions are treated separately.
South / Central Somalia and Puntland

In South/Central Somalia and in Puntland, the Somali Penal Code 1962 sets the minimum age of criminal responsibility at 14 and provides for reduced punishments for persons aged 14 to 17, but it also authorises sending children under 14 to reformatories. The Juvenile Courts and Reformatories Law 1970 defines a child as under 14 and a young person as 14 to 17. It states that a juvenile court has exclusive jurisdiction to hear and determine cases relating to children and young people in relation to any offence except murder and repeals inconsistent laws [Penal Code.]. However, it is possible that this law has never been brought into force, and a new juvenile justice law is reportedly being drafted in Puntland [see http://www.reliefweb.int/rw/res.nsf/db900SID/OCHA-7VJAVD, accessed 21 February 2011].
Somaliland

In Somaliland, the Juvenile Justice Law 2007 puts the age of criminal responsibility at 15 and harmonises the provisions of secular, Sharia and customary laws [Reported at http://www.unicef.org/somalia/reallives_5434.html, accessed 21 February 2011].

However, the Law has not been fully implemented and much of the work of the lower courts in criminal justice matters, especially involving children, has until very recently been carried out by regional security committees. During the 1980s, sentences handed down by these committees included life imprisonment and the death penalty, though more recently they appear to have been less draconian. Claims that the committees are lawful under the Public Order Law 1963 are disputed, as is the extent to which that law is still in force. [Human Rights Watch (2009), “Hostages to Peace"": Threats to Human Rights and Democracy in Somaliland, New York: Human Rights Watch; A/HRC/15/48, 16 September 2010, Report of the independent expert on the situation of human rights in Somalia, Shamsul Bari, paras. 38 and 40].",记录数,1,2.875,43.446
Somalia,"Somalia's legal system is divided between that of Somaliland, which unilaterally declared its independence in 1991, and the rest of the country. This legal divide has a marked effect on sentencing provisions for child offenders, so the two regions are treated separately.
South / Central Somalia and Puntland

In South/Central Somalia and in Puntland, the Somali Penal Code 1962 sets the minimum age of criminal responsibility at 14 and provides for reduced punishments for persons aged 14 to 17, but it also authorises sending children under 14 to reformatories. The Juvenile Courts and Reformatories Law 1970 defines a child as under 14 and a young person as 14 to 17. It states that a juvenile court has exclusive jurisdiction to hear and determine cases relating to children and young people in relation to any offence except murder and repeals inconsistent laws [Penal Code.]. However, it is possible that this law has never been brought into force, and a new juvenile justice law is reportedly being drafted in Puntland [see http://www.reliefweb.int/rw/res.nsf/db900SID/OCHA-7VJAVD, accessed 21 February 2011].
Somaliland

In Somaliland, the Juvenile Justice Law 2007 puts the age of criminal responsibility at 15 and harmonises the provisions of secular, Sharia and customary laws [Reported at http://www.unicef.org/somalia/reallives_5434.html, accessed 21 February 2011].

However, the Law has not been fully implemented and much of the work of the lower courts in criminal justice matters, especially involving children, has until very recently been carried out by regional security committees. During the 1980s, sentences handed down by these committees included life imprisonment and the death penalty, though more recently they appear to have been less draconian. Claims that the committees are lawful under the Public Order Law 1963 are disputed, as is the extent to which that law is still in force. [Human Rights Watch (2009), “Hostages to Peace"": Threats to Human Rights and Democracy in Somaliland, New York: Human Rights Watch; A/HRC/15/48, 16 September 2010, Report of the independent expert on the situation of human rights in Somalia, Shamsul Bari, paras. 38 and 40].",Minimum age of criminal responsibility,14,2.875,43.446
Solomon Islands,"No person under the age of 8 can beheld criminally responsible for an act or omission. A child older than 8 but younger that 12 can only be held criminally responsible where “[he or she] had capacity to know that he ought not to do the act or make the omission.”

However, the Juvenile Offender Act permits criminal justice measures, including deprivation of liberty, to be applied without a lower age limit. [Penal Code, Section 14(1) and (2); Juvenile Offenders Act, Sections 2 and 16(i)-(j)]",记录数,1,-9.5987,160.1487
Solomon Islands,"No person under the age of 8 can beheld criminally responsible for an act or omission. A child older than 8 but younger that 12 can only be held criminally responsible where “[he or she] had capacity to know that he ought not to do the act or make the omission.”

However, the Juvenile Offender Act permits criminal justice measures, including deprivation of liberty, to be applied without a lower age limit. [Penal Code, Section 14(1) and (2); Juvenile Offenders Act, Sections 2 and 16(i)-(j)]",Minimum age of criminal responsibility,8,-9.5987,160.1487
Slovenia,"Children under the age of 14 cannot be sentenced to criminal penalties. Children under the age of 14 criminal responsibility can, however, be committed to juvenile institutions equivalent to those used for older children in conflict with the law. [Penal Code, Article 71; Filipcic, Katja, “Slovenia: Dealing with Juvenile Delinquents in Slovenia,” 75 International Review of Penal Law (Revue internationale de droit pénal) 493, 2004]",记录数,1,46.037,14.534
Slovenia,"Children under the age of 14 cannot be sentenced to criminal penalties. Children under the age of 14 criminal responsibility can, however, be committed to juvenile institutions equivalent to those used for older children in conflict with the law. [Penal Code, Article 71; Filipcic, Katja, “Slovenia: Dealing with Juvenile Delinquents in Slovenia,” 75 International Review of Penal Law (Revue internationale de droit pénal) 493, 2004]",Minimum age of criminal responsibility,14,46.037,14.534
Slovakia,"Any person under the age of 14 upon committing what would otherwise be a criminal offence may not be held criminally liable. No one may be held criminally liable for sexual abuse if he or she has not reached the age of 15. [Criminal Code, Section 22(1) and (2)]",记录数,1,48.8595,19.4434
Slovakia,"Any person under the age of 14 upon committing what would otherwise be a criminal offence may not be held criminally liable. No one may be held criminally liable for sexual abuse if he or she has not reached the age of 15. [Criminal Code, Section 22(1) and (2)]",Minimum age of criminal responsibility,14,48.8595,19.4434
Singapore,"Children can be held criminally responsible for offences committed from the age of seven. Children aged older than seven but younger than 12 cannot be held criminally responsible unless they have “attained sufficient maturity of understanding to judge the nature and consequence of [their] conduct on that occasion.” [Penal Code, Sections 82 and 83]",记录数,1,1.3389,103.8297
Singapore,"Children can be held criminally responsible for offences committed from the age of seven. Children aged older than seven but younger than 12 cannot be held criminally responsible unless they have “attained sufficient maturity of understanding to judge the nature and consequence of [their] conduct on that occasion.” [Penal Code, Sections 82 and 83]",Minimum age of criminal responsibility,7,1.3389,103.8297
Sierra Leone,"No child can be held criminally responsible for his or her actions while under the age of 14. [Child Rights Act, Section 70.]",记录数,1,8.677,-11.779
Sierra Leone,"No child can be held criminally responsible for his or her actions while under the age of 14. [Child Rights Act, Section 70.]",Minimum age of criminal responsibility,14,8.677,-11.779
Seychelles,"A person under the age of seven cannot be held criminally responsible for any act or omission. A Child older than seven but younger than 12 can only be held criminally responsible if he or she “had the capacity to know that [he or she] ought not to do the act or make the omission.” A male under the age of 12 is presumed to be incapable of having carnal knowledge, a provision that prevents the prosecution of younger boys for certain sexual offences. [Penal Code, Section 15.]

The State reported to the UN Committee on the Rights of the Child that the minimum age of criminal responsibility is 12, but this provision remains in force, so it is possible for younger children to be subjected to criminal penalties. [Initial report to the UN Committee on the Rights of the Child, CRC/C/3/Add.64, 3 May 2002, at IX.A.1. The administration of juvenile justice]",记录数,1,-4.6841,55.4924
Seychelles,"A person under the age of seven cannot be held criminally responsible for any act or omission. A Child older than seven but younger than 12 can only be held criminally responsible if he or she “had the capacity to know that [he or she] ought not to do the act or make the omission.” A male under the age of 12 is presumed to be incapable of having carnal knowledge, a provision that prevents the prosecution of younger boys for certain sexual offences. [Penal Code, Section 15.]

The State reported to the UN Committee on the Rights of the Child that the minimum age of criminal responsibility is 12, but this provision remains in force, so it is possible for younger children to be subjected to criminal penalties. [Initial report to the UN Committee on the Rights of the Child, CRC/C/3/Add.64, 3 May 2002, at IX.A.1. The administration of juvenile justice]",Minimum age of criminal responsibility,7,-4.6841,55.4924
